wingo,year
Commonwealth Nurses Federation,1993
Commonwealth Nurses Federation,1998
Commonwealth Nurses Federation,2003
Commonwealth Nurses Federation,2008
Commonwealth Nurses Federation,2013
Confederation Feminina Methodista America Latina y El Caribe,2008
Conference of the Parliamentary Committees Responsible for Equal Opportunities between Women and Men in the Member States of the European Union and in the European Parliament,2013
Corona Worldwide,2013
Council of Women World Leaders,2003
Council of Women World Leaders,2008
Council of Women World Leaders,2013
Development Alternative with Women for New Era,1998
Development Alternatives with Women for New Era,1993
Development Alternatives with Women for New Era,2003
Development Alternatives with Women for New Era,2014
Diverse Women for Diversity,2013
EEC Liaison Committee of Midwives,1983
EEC Liaison Committee of Midwives,1988
EEC Liaison Committee of Midwives,1993
EEC Liaison Committee of Midwives,2003
EEC Liaison Committee of Midwives,2008
East West European Women's Network,1998
East West European Women's Network,2003
East West European Women's Network,2008
East-West-European Women's Network,2013
Eastern African Subregional Support Initative for the Advancement of Women,2008
Eastern African Subregional Support Initiative for the Advancement of Women,2013
Ecumenical Forum of European Christian Women,1998
Ecumenical Forum of European Christian Women,2003
Ecumenical Forum of European Christian Women,2008
Ecumenical Forum of European Christian Women,2013
Emunah World Religious Zionist Women's Organization,1993
Emunah World Religious Zionist Women's Organization,1998
Emunah World Religious Zionist Women's Organization,2003
Emunah World Religious Zionist Women's Organization,2008
Enlace Continental de Mujeres Indigenas de las Americas,2013
Equality Now,1998
Equality Now,2014
Europa Donna,1998
Europa Donna,2003
Europa Donna,2008
Europa Donna -- The European Breast Cancer Coalition,2013
European Alliance of Catholic Women's Organisations,2013
European Alliance of Catholic Women's Organizations,2008
"European Association for Gender Research, Education and Documentation",2013
"European Association for Women in Science, Engineering and Technology",2003
"European Association for Women in Science, Engineering and Technology",2008
"European Association for Women in Science, Engineering and Technology",2013
European Baptist Women's Union,1998
European Baptist Women's Union,2003
European Baptist Women's Union,2008
European Baptist Women's Union,2013
European Centre of the International Council of Women,1988
European Centre of the International Council of Women,1993
European Centre of the International Council of Women,2003
European Centre of the International Council of Women,2008
European Centre of the International Council of Women,2013
European Council of WIZO Federations,2003
European Council of WIZO Federations,2008
European Council of WIZO Federations,2013
European Federation for the Disappearance of Prostitution,2013
European Federation of Business and Professional Women,1998
European Federation of Business and Professional Women,2003
European Federation of Business and Professional Women,2008
European Federation of Women Working in the Home,1993
European Federation of Women Working in the Home,1998
European Federation of Women Working in the Home,2003
European Federation of Women Working in the Home,2008
European Forum of Left Feminists,1998
European Forum of Muslim Women,2013
European Midwives Association,2013
"European Network for Theory and Research on Women, Welfare State, and Citizenship",2008
European Network of Policewomen,2003
European Network of Policewomen,2008
European Network of Policewomen,2013
European Network of Scientific and Technical Cooperation on Women's Studies,1998
European Network of Women,1993
European Network of Women,1998
European Network of Women,2003
European Network of Women,2013
European Network of Women's Organisations in Fisheries and Aquaculture,2013
European Network of Women's Right to Abortion and Contraceptive,1998
European Network to Promote Women's Entrepreneurship,2013
"European Non-Governmental Organizations for Sexual and Reproductive Health and Rights, Population and Development",2013
European Platform for Women Scientists,2008
European Platform of Women Scientists,2013
European Policy Action Centre on Violence Against Women,2003
European Policy Action Centre on Violence Against Women,2008
European Policy Action Centre on Violence Against Women,2013
European Professional Women's Network,2008
European Professional Women's Network,2013
"European Research Network on Conflict, Gender, and Violence",2003
"European Research Network on Conflict, Gender, and Violence",2008
"European Research Network on Conflict, Gender, and Violence",2013
European Society of Women in Theological Research,1993
European Society of Women in Theological Research,1998
European Society of Women in Theological Research,2003
European Society of Women in Theological Research,2008
European Society of Women in Theological Research,2013
European Union of Women,1960
European Union of Women,1965
European Union of Women,1973
European Union of Women,1978
European Union of Women,1983
European Union of Women,1988
European Union of Women,1993
European Union of Women,1998
European Union of Women,2003
European Union of Women,2008
European Union of Women,2013
European Women Centre for Studies in a Changing Society,1983
European Women Centre for Studies in a Changing Society,1988
European Women and Sport Network,2003
European Women and Sport Network,2008
European Women and Sport Network,2013
European Women in Mathematics,2003
European Women in Mathematics,2008
European Women in Mathematics,2013
European Women's Lobby,1993
European Women's Lobby,1998
European Women's Lobby,2003
European Women's Lobby,2008
European Women's Lobby,2013
European Women's Management Development International Network,2013
European Women's Management Development Network,1988
European Women's Management Development Network,1993
European Women's Management Development Network,1998
European Women's Management Development Network,2003
European Women's Management Development Network,2008
European YWCA's,1983
European YWCA's,1988
European YWCA's,1993
European YWCA's,2003
European YWCA's,2008
European Young Women's Christian Association,2013
Federacion Centroamericana de Mujeres Universitarias,2003
Federacion Centroamericana de Mujeres Universitarias,2008
Federacií€Œ_n Iberoamericana de Mujeres Empresarias,2013
Federacií€Œ_n Internacional de Abogadas,2013
Federation of African Media Women,2003
Federation of African Media Women,2008
Federation of African Media Women,2013
Federation of African Women's Networks on Peace,2013
Federation of American Women's Clubs Overseas,2003
Federation of American Women's Clubs Overseas,2008
Federation of American Women's Clubs Overseas,2013
Federation of Asia-Pacific Women's Associations,2013
Federation of Asian Women's Associations,1960
Federation of Asian Women's Associations,1973
Federation of Asian Women's Associations,1978
Federation of Asian Women's Associations,1983
Federation of Asian Women's Associations,1988
Federation of Asian Women's Associations,1993
Federation of Asian Women's Associations,1998
Federation of Asian Women's Associations,2003
Federation of Asian Women's Associations,2014
Federation of National Associations of Women in Business in Eastern and Southern Africa,1998
Federation of National Associations of Women in Business in Eastern and Southern Africa,2008
Federation of National Associations of Women in Business in Eastern and Southern Africa,2013
Female Europeans of Medium and Small Enterprises,1998
Female Europeans of Medium and Small Enterprises,2003
Female Europeans of Medium and Small Enterprises,2008
Female Europeans of Medium and Small Enterprises,2013
Femina Baltica Network,2013
Femina Borealis - Women and Development in the North,2003
Femina Borealis - Women and Development in the North,2008
Femina Borealis - Women and Development in the North,2013
Feminist Articulation Marcosur,2008
Feminist Articulation Marcosur,2013
Feminist International Network of Resistance to Reproductive & Genetic Engineering,1993
Feminist International Network of Resistance to Reproductive & Genetic Engineering,1998
Femmes Africa Solidarite,2003
Femmes Africa Solidarite,2008
Femmes Africa solidarití€Œ©,2013
Femmes chefs d'entreprises mondiales,2013
Femmes de l'Euregio Meuse-Rhin,2008
Femmes de l'Eurí€Œ©gio Meuse-Rhin,2013
Foro de Mujeres para la Integracií€Œ_n Centroamí€Œ©rica,2013
Forum for African Women Educationalists,1998
Forum for African Women Educationalists,2003
Forum for African Women Educationalists,2008
Forum for African Women Educationalists,2013
Friends of the International Federation of Business and Professional Women,1993
Fí€Œ©dí€Œ©ration Internationale de Gyní€Œ©cologie et d'Obstí€Œ©trique,2013
Fí€Œ©dí€Œ©ration internationale culturelle fí€Œ©minine,2013
Fí€Œ©dí€Œ©ration internationale de gyní€Œ©cologie infantile et juví€Œ©nile / International Federation of Infantile and Juvenile Gynecology,2013
"Gender Research on Urbanization, Planning Housing and Everyday Life",1998
"Gender Research on Urbanization, Planning Housing and Everyday Life",2003
Gender and Media Southern Africa Network,2003
Gender and Media Southern Africa Network,2013
Gender and Water Alliance,2008
Gender and Water Alliance,2013
General Arab Women Federation,1998
General Arab Women Federation,2003
General Arab Women Federation,2008
General Arab Women Federation,2013
General Federation of Women's Clubs,1973
General Federation of Women's Clubs,1978
General Federation of Women's Clubs,1983
General Federation of Women's Clubs,1988
General Federation of Women's Clubs,1993
General Federation of Women's Clubs,1998
Girls Friendly Society World Council,2013
Girls not Brides,2013
Girls' Brigade International,1973
Girls' Brigade International,1978
Girls' Brigade International,1983
Girls' Brigade International,1988
Girls' Brigade International,1993
Girls' Brigade International,1998
Girls' Brigade International,2013
Global Alliance against Traffic in Women,1998
Global Alliance against Traffic in Women,2003
Global Alliance against Traffic in Women,2014
Global Banking Alliance for Women,2008
Global Banking Alliance for Women,2013
Global Fund for Women,1998
Global Fund for Women,2014
Grameen Trust,2003
Grameen Trust,2008
Grameen Trust,2013
Green Belt Movement,2013
HIC Women and Shelter Network,1993
HIC Women and Shelter Network,1998
HIC Women and Shelter Network,2013
Hunger Project,2013
ICA Gender Equality Committee,2013
ICA Women's Committee,2003
ICA Women's Committee,2008
ISIS International: Women's Information Communication Service,1988
ISIS Women's International Cross Cultural Exchange,1993
ISIS Women's International Cross Cultural Exchange,1998
ISIS Women's International Cross Cultural Exchange,2003
ISIS Women's International Cross Cultural Exchange,2014
Informal Working Group on Gender and Trade,2003
Informal Working Group on Gender and Trade,2008
Inter-African Committee of Traditional Practices affecting the Health of Women and Children in Africa,1993
Inter-African Committee of Traditional Practices affecting the Health of Women and Children in Africa,2003
Inter-African Committee of Traditional Practices affecting the Health of Women and Children in Africa,2008
Inter-African Committee on Traditional Practices Affecting the Health of Women and Children,2013
Inter-American Parliamentary Group on Population and Development (IAPG),2013
Inter-European Parliamentary Forum on Population and Development,2013
Intercontinental of Women Working in the Home,2013
International AIDS Women's Caucus,2013
International Abolitionist Federation,1955
International Abolitionist Federation,1960
International Abolitionist Federation,1965
International Abolitionist Federation,1988
International Abolitionist Federation,1993
International Abolitionist Federation,1998
International Abolitionist Federation,2003
International Abolitionist Federation,2008
International Abolitionist Federation,2013
International Alliance for Women,2013
International Alliance for Women in Music,2003
International Alliance for Women in Music,2008
International Alliance for Women in Music,2013
International Alliance of Women,1950
International Alliance of Women,1955
International Alliance of Women,1960
International Alliance of Women,1965
International Alliance of Women,1973
International Alliance of Women,1978
International Alliance of Women,1983
International Alliance of Women,1988
International Alliance of Women,1993
International Alliance of Women,1998
International Alliance of Women,2003
International Alliance of Women,2008
International Alliance of Women,2013
International Association Liberal Religious Women,1965
International Association Liberal Religious Women,1973
International Association Liberal Religious Women,1978
International Association Liberal Religious Women,1983
International Association Liberal Religious Women,1988
International Association Liberal Religious Women,1993
International Association Liberal Religious Women,1998
International Association Liberal Religious Women,2003
International Association Liberal Religious Women,2008
International Association for Maternal and Neonatal Health,1983
International Association for Maternal and Neonatal Health,1988
International Association for Maternal and Neonatal Health,1998
International Association for Maternal and Neonatal Health,2003
International Association for Maternal and Neonatal Health,2008
International Association for Maternal and Neonatal Health,2013
International Association of Lyceum Clubs,1973
International Association of Lyceum Clubs,1978
International Association of Lyceum Clubs,1983
International Association of Lyceum Clubs,1988
International Association of Lyceum Clubs,1993
International Association of Lyceum Clubs,1998
International Association of Lyceum Clubs,2003
International Association of Lyceum Clubs,2008
International Association of Lyceum Clubs,2013
International Association of Physical Education & Sports for Girls and Women,1960
International Association of Physical Education & Sports for Girls and Women,1965
International Association of Physical Education & Sports for Girls and Women,1973
International Association of Physical Education & Sports for Girls and Women,1978
International Association of Physical Education & Sports for Girls and Women,1983
International Association of Physical Education & Sports for Girls and Women,1988
International Association of Physical Education & Sports for Girls and Women,1993
International Association of Physical Education & Sports for Girls and Women,1998
International Association of Physical Education & Sports for Girls and Women,2003
International Association of Physical Education & Sports for Girls and Women,2008
International Association of Physical Education and Sport for Girls and Women,2013
International Association of Women Judges,2003
International Association of Women Judges,2008
International Association of Women Judges,2013
International Association of Women Ministers,1988
International Association of Women Ministers,1993
International Association of Women Ministers,1998
International Association of Women Ministers,2003
International Association of Women Ministers,2008
International Association of Women Ministers,2013
International Association of Women Philosophers,1988
International Association of Women Philosophers,1993
International Association of Women Philosophers,1998
International Association of Women Philosophers,2003
International Association of Women Philosophers,2008
International Association of Women Philosophers,2013
International Association of Women Police,1998
International Association of Women Police,2003
International Association of Women Police,2008
International Association of Women Police,2013
International Association of Women and Home Page Journalists,1973
International Association of Women and Home Page Journalists,1978
International Association of Women and Home Page Journalists,1983
International Association of Women and Home Page Journalists,1988
International Association of Women and Home Page Journalists,1993
International Association of Women in Radio and Television,1960
International Association of Women in Radio and Television,1988
International Association of Women in Radio and Television,1993
International Association of Women in Radio and Television,1998
International Association of Women in Radio and Television,2003
International Association of Women in Radio and Television,2008
International Association of Women in Radio and Television,2013
International Baby Food Action Network,2013
International Bureau for the Suppression of Traffic in Persons,1960
International Bureau for the Suppression of Traffic in Persons,1965
International Catholic Committee Nurses,1998
International Catholic Committee Nurses,2013
International Catholic Committee of Nurses,1955
International Catholic Committee of Nurses,1965
International Catholic Committee of Nurses,1983
International Catholic Committee of Nurses,1988
International Catholic Committee of Nurses,1993
International Catholic Committee of Nurses,2003
International Catholic Committee of Nurses,2008
International Catholic Society for Girls,1955
International Catholic Society for Girls,1960
International Catholic Society for Girls,1965
International Catholic Society for Girls,1978
International Catholic Society for Girls,1983
International Catholic Society for Girls,1988
International Catholic Society for Girls,1993
International Catholic Society for Girls,1998
International Catholic Society for Girls,2003
International Catholic Society for Girls,2008
International Coalition for the Decade for the Promotion of a Culture of Peace and Non-Violence for the Children of the World,2013
International Coalition on Women and Credit,2013
International Collective in Support of Fishworkers,2013
International Committee for World Day of Prayer,1988
International Committee for World Day of Prayer,1993
International Committee for World Day of Prayer,1998
International Committee for World Day of Prayer,2008
International Community of Women Living with HIV/AIDS,1998
International Community of Women Living with HIV/AIDS,2003
International Community of Women Living with HIV/AIDS,2008
International Community of Women Living with HIV/AIDS,2013
International Confederation Midwives,1960
International Confederation Midwives,1965
International Confederation Midwives,1973
International Confederation Midwives,1978
International Confederation Midwives,1983
International Confederation Midwives,1988
International Confederation Midwives,1993
International Confederation Midwives,1998
International Confederation Midwives,2003
International Confederation Midwives,2008
International Confederation Midwives,2013
International Confederation of Family Support,2003
International Confederation of Family Support,2008
International Confederation of Family Support,2013
International Conference of Women Engineers and Scientists,1973
International Conference of Women Engineers and Scientists,1978
International Conference of Women Engineers and Scientists,1983
International Conference of Women Engineers and Scientists,1988
International Cooperative Women's Guild,1950
International Cooperative Women's Guild,1960
International Cooperative Women's Guild,1965
International Council of Jewish Women,1965
International Council of Jewish Women,1973
International Council of Jewish Women,1978
International Council of Jewish Women,1983
International Council of Jewish Women,1988
International Council of Jewish Women,1993
International Council of Jewish Women,1998
International Council of Jewish Women,2003
International Council of Jewish Women,2008
International Council of Jewish Women,2013
International Council of Nurses,1960
International Council of Nurses,1965
International Council of Nurses,1973
International Council of Nurses,1978
International Council of Nurses,1983
International Council of Nurses,1988
International Council of Nurses,2008
International Council of Nurses,2013
International Council of Women,1950
International Council of Women,1955
International Council of Women,1960
International Council of Women,1965
International Council of Women,1973
International Council of Women,1978
International Council of Women,1983
International Council of Women,1988
International Council of Women,1993
International Council of Women,1998
International Council of Women,2003
International Council of Women,2008
International Council of Women,2013
International Council on Women's Health Issues,2003
International Council on Women's Health Issues,2008
International Council on Women's Health Issues,2013
International Curling Federation - Ladies Committee,1988
International Federation Friends of Young Women,1950
International Federation for Home Economics,1955
International Federation for Home Economics,1960
International Federation for Home Economics,1965
International Federation for Home Economics,1973
International Federation for Home Economics,1978
International Federation for Home Economics,1983
International Federation for Home Economics,1988
International Federation for Home Economics,1993
International Federation for Home Economics,1998
International Federation for Home Economics,2003
International Federation for Home Economics,2008
International Federation for Home Economics,2013
International Federation for Research in Women's History,1993
International Federation for Research in Women's History,1998
International Federation for Research in Women's History,2003
International Federation for Research in Women's History,2008
International Federation for Research in Women's History,2013
International Federation of Business and Professional Women,1955
International Federation of Business and Professional Women,1960
International Federation of Business and Professional Women,1965
International Federation of Business and Professional Women,1973
International Federation of Business and Professional Women,1978
International Federation of Business and Professional Women,1983
International Federation of Business and Professional Women,1988
International Federation of Business and Professional Women,1993
International Federation of Business and Professional Women,1998
International Federation of Business and Professional Women,2003
International Federation of Business and Professional Women,2008
International Federation of Business and Professional Women,2013
International Federation of Gynecology & Obstetrics,1955
International Federation of Gynecology & Obstetrics,1960
International Federation of Gynecology & Obstetrics,1965
International Federation of Gynecology & Obstetrics,1973
International Federation of Gynecology & Obstetrics,1978
International Federation of Gynecology & Obstetrics,1983
International Federation of Gynecology & Obstetrics,1988
International Federation of Gynecology & Obstetrics,1993
International Federation of Gynecology & Obstetrics,1998
International Federation of Gynecology & Obstetrics,2003
International Federation of Gynecology & Obstetrics,2008
International Federation of Mazdaznan Women,1960
International Federation of Mazdaznan Women,1965
International Federation of Mazdaznan Women,1973
International Federation of Mazdaznan Women,1978
International Federation of Mazdaznan Women,1983
International Federation of University Women,1950
International Federation of University Women,1955
International Federation of University Women,1960
International Federation of University Women,1965
International Federation of University Women,1973
International Federation of University Women,1978
International Federation of University Women,1983
International Federation of University Women,1988
International Federation of University Women,1993
International Federation of University Women,1998
International Federation of University Women,2003
International Federation of University Women,2008
International Federation of University Women,2013
International Federation of Women Lawyers,1955
International Federation of Women Lawyers,1960
International Federation of Women Lawyers,1965
International Federation of Women Lawyers,1973
International Federation of Women Lawyers,1978
International Federation of Women Lawyers,1983
International Federation of Women Lawyers,1988
International Federation of Women Lawyers,1993
International Federation of Women Lawyers,1998
International Federation of Women Lawyers,2003
International Federation of Women Lawyers,2008
International Federation of Women in Legal Careers,1960
International Federation of Women in Legal Careers,1965
International Federation of Women in Legal Careers,1973
International Federation of Women in Legal Careers,1978
International Federation of Women in Legal Careers,1983
International Federation of Women in Legal Careers,1988
International Federation of Women in Legal Careers,1993
International Federation of Women in Legal Careers,1998
International Federation of Women in Legal Careers,2003
International Federation of Women in Legal Careers,2008
International Federation of Women in Legal Careers,2013
International Federation of Women's Hockey Associations,1960
International Federation of Women's Hockey Associations,1965
International Federation of Women's Hockey Associations,1973
International Federation of Women's Hockey Associations,1978
International Federation of Women's Lacrosse,2003
International Federation of Women's Lacrosse,2008
International Federation of Women's Travel Organizations,1988
International Federation of Women's Travel Organizations,1993
International Federation of Women's Travel Organizations,2003
International Federation of Women's Travel Organizations,2008
International Federation or Women's Travel Organizations,1998
International Feminist Network,1988
International Feminist Network,1993
International Feminist Network,1998
International Grail Movement,1998
International Grail Movement,2003
International Grail Movement,2008
International Health Awareness Network,2013
International Inner Wheel,1960
International Inner Wheel,1965
International Inner Wheel,1973
International Inner Wheel,1978
International Inner Wheel,1983
International Inner Wheel,1988
International Inner Wheel,1993
International League of Women Composers,1988
International League of Women Composers,1993
International Mediterranean Women's Forum,2013
International Movement for Fraternal Union among Races and Peoples,1955
International Movement for Fraternal Union among Races and Peoples,1960
International Movement for Fraternal Union among Races and Peoples,1965
International Movement for Fraternal Union among Races and Peoples,1973
International Movement for Fraternal Union among Races and Peoples,1983
International Movement for Fraternal Union among Races and Peoples,1988
International Movement for Fraternal Union among Races and Peoples,1993
International Movement for Fraternal Union among Races and Peoples,1998
International Movement for Fraternal Union among Races and Peoples,2003
International Movement for Fraternal Union among Races and Peoples,2008
International Movement for Fraternal Union among Races and Peoples,2013
International Movement of Labour Women,1950
International Network for Girls,2003
International Network for Girls,2008
International Network for Girls,2013
International Network of Feminists Interested in Reproductive Health and Ethics,1998
International Network of Liberal Women,2003
International Network of Liberal Women,2008
International Network of Liberal Women,2013
International Network of Women Against Tobacco,2013
International Network of Women Against Tobacco - Europe,2013
International Network of Women against Tobacco,2003
International Network of Women against Tobacco,2008
International Network of Women against Tobacco -- Europe,2003
International Network of Women against Tobacco -- Europe,2008
International Network of Women's Funds,2013
International Network on Feminist Approaches to Bioethics,2003
International Network on Feminist Approaches to Bioethics,2013
International Network on Gender and Sustainable Energy,2003
International Network on Gender and Sustainable Energy,2008
International Network on Gender and Sustainable Energy,2013
International Organization of Physical Therapists in Women's Health,2003
International Organization of Physical Therapists in Women's Health,2008
International Organization of Physical Therapists in Women's Health,2013
International Organization of Women and Mathematics Education,1993
International Organization of Women and Mathematics Education,1998
International Organization of Women and Mathematics Education,2003
International Organization of Women and Mathematics Education,2008
International Organization of Women and Mathematics Education,2013
International Planned Parenthood Federation,1955
International Planned Parenthood Federation,1960
International Planned Parenthood Federation,1965
International Planned Parenthood Federation,1973
International Planned Parenthood Federation,1983
International Planned Parenthood Federation,1988
International Planned Parenthood Federation,1993
International Planned Parenthood Federation,1998
International Planned Parenthood Federation,2003
International Planned Parenthood Federation,2008
International Planned Parenthood Federation,2013
International Resistance of Women Against War,1993
International Society of Women Airline Pilots,1988
International Society of Women Airline Pilots,1993
International Society of Women Airline Pilots,2003
International Society of Women Airline Pilots,2008
International Society of Women Airline Pilots,2013
International Steering Committee for the Economic Advancement of Rural Women,2003
International Steering Committee for the Economic Advancement of Rural Women,2008
International Union of Women Architects,1965
International Union of Women Architects,1973
International Union of Women Architects,1983
International Union of Women Architects,1988
International Union of Women Architects,1993
International Union of Women Architects,1998
International Union of Women Architects,2008
International Union of Women Architects,2013
"International Volunteerism Organization for Women, Education, Development",2003
"International Volunteerism Organization for Women, Education, Development",2008
International Wages for Housework Campaign,2013
International Wages of Housework Campaign,1988
International Wages of Housework Campaign,1993
International Wages of Housework Campaign,1998
International Wages of Housework Campaign,2003
International Wages of Housework Campaign,2008
International Women Count Network,2003
International Women Count Network,2008
International Women Count Network,2013
International Women Veterinary Auxiliary,1983
International Women Veterinary Auxiliary,1988
International Women's Cricket Council,1960
International Women's Cricket Council,1973
International Women's Cricket Council,1978
International Women's Cricket Council,1983
International Women's Cricket Council,1988
International Women's Cricket Council,1993
International Women's Cricket Council,1998
International Women's Forum,2008
International Women's Forum,2013
International Women's Rights Action Watch,1998
International Women's Rights Action Watch,2003
International Women's Rights Action Watch,2014
Internationale des Coiffeurs de Dames,1993
Internationale des Coiffeurs de Dames,1998
Internationale des Coiffeurs de Dames,2003
Internationale des Coiffeurs de Dames,2008
Internationale des coiffeurs de dames,2013
Jewish Women International,1998
Jewish Women International,2003
Jewish Women International,2008
Jewish Women International,2013
Joint Organization for Nordic Women's Rights Association,1983
Joint Organization for Nordic Women's Rights Association,1988
Joint Organization for Nordic Women's Rights Association,1993
KARAT Coalition,2013
Karat Coalition,2003
